#
# Undirected graph - clustering coefficient. G(17226, 103954). Average clustering: 0.2522  OpenTriads: 2806109 (0.9490)  ClosedTriads: 150897 (0.0510) (Mon Sep  9 03:59:11 2019)
#
# Node degree	Average clustering coefficient
0	0
1	0
2	0.393625
3	0.35773
4	0.342865
5	0.337349
6	0.330723
7	0.304966
8	0.296936
9	0.295058
10	0.28271
11	0.274222
12	0.267953
13	0.269946
14	0.251976
15	0.253397
16	0.241511
17	0.24308
18	0.229257
19	0.224587
20	0.227784
21	0.246628
22	0.221202
23	0.206092
24	0.207822
25	0.197195
26	0.188454
27	0.209656
28	0.199218
29	0.184205
30	0.183272
31	0.191859
32	0.196185
33	0.189948
34	0.1701
35	0.172753
36	0.166264
37	0.175764
38	0.160295
39	0.162696
40	0.15164
41	0.164294
42	0.157034
43	0.158915
44	0.127726
45	0.130401
46	0.163058
47	0.137431
48	0.152911
49	0.132228
50	0.125637
51	0.12902
52	0.126481
53	0.122242
54	0.132565
55	0.113244
56	0.158098
57	0.105745
58	0.124343
59	0.105332
60	0.115198
61	0.0763766
62	0.101111
63	0.124058
64	0.138724
65	0.104147
66	0.100403
67	0.0917006
68	0.0849743
69	0.121199
70	0.158178
71	0.112193
72	0.085045
73	0.087519
74	0.13205
75	0.115058
76	0.0739181
77	0.104352
78	0.102731
79	0.119896
80	0.155696
81	0.0703704
82	0.0885276
83	0.0914487
84	0.0749665
85	0.0702381
86	0.11026
87	0.0985031
88	0.0808952
89	0.0663092
90	0.0642946
91	0.0827839
92	0.0493311
93	0.0698146
95	0.0721165
96	0.0627193
97	0.139605
98	0.0918578
99	0.0798804
100	0.0656566
101	0.0677228
102	0.0633534
103	0.0728155
104	0.0644137
105	0.06
106	0.0545822
107	0.113472
108	0.0560315
109	0.0394156
110	0.0678899
111	0.0652744
114	0.0619469
117	0.0674182
121	0.0581267
124	0.0448466
133	0.0402142
134	0.0517338
135	0.0500829
137	0.0347789
138	0.0825664
140	0.0818088
141	0.0522796
142	0.0586105
146	0.0605574
147	0.0332681
148	0.033554
149	0.0620352
151	0.0386755
152	0.0691879
154	0.0843731
157	0.033562
160	0.0443396
164	0.0471345
168	0.0351796
169	0.0215201
170	0.0533937
177	0.038906
178	0.0451977
194	0.00913413
212	0.0397478
219	0.029031
221	0.0162485
230	0.0176191
236	0.0483952
237	0.0524566
247	0.0508871
300	0.0389521
310	0.0276438
