#
# Undirected graph - clustering coefficient. G(12231, 18453). Average clustering: 0.1716  OpenTriads: 713482 (0.9685)  ClosedTriads: 23202 (0.0315) (Mon Sep  9 04:02:16 2019)
#
# Node degree	Average clustering coefficient
0	0
1	0
2	0.72969
3	0.649832
4	0.518143
5	0.443922
6	0.383681
7	0.347903
8	0.324461
9	0.302419
10	0.323259
11	0.290135
12	0.27635
13	0.26323
14	0.281114
15	0.248233
16	0.284804
17	0.242364
18	0.240378
19	0.23638
20	0.256842
21	0.209762
22	0.193074
23	0.213109
24	0.211538
25	0.164902
26	0.204359
27	0.218803
28	0.220635
29	0.21538
30	0.218062
31	0.173656
32	0.173387
33	0.19375
34	0.17964
35	0.158824
36	0.161451
37	0.188589
38	0.174806
39	0.162618
40	0.150855
41	0.176829
42	0.152149
43	0.149027
44	0.100951
46	0.121739
47	0.138298
48	0.128324
49	0.159864
50	0.0930612
51	0.183529
52	0.133107
53	0.102322
54	0.11181
55	0.122424
56	0.124026
57	0.0598371
58	0.119177
59	0.158095
60	0.0435028
61	0.116393
62	0.104707
63	0.0930193
64	0
65	0.136298
67	0.100859
68	0.0658472
69	0.118073
70	0.0202899
71	0.150905
72	0.0910276
73	0.0498478
74	0.119956
75	0.118919
77	0.098257
78	0.0890221
79	0.0275884
83	0.0861005
84	0.0900746
85	0.0997199
86	0.113953
87	0.109864
90	0.0789014
92	0.0361921
97	0.0947165
98	0.0974122
99	0.0907029
100	0.070303
101	0.0962376
103	0.0180849
110	0.0598832
113	0.0595765
117	0.057766
120	0.0362745
123	0.0563774
126	0.063873
128	0.0272515
130	0.0720334
134	0.028953
146	0.0592348
153	0.0702614
157	0.0525069
168	0.0398489
180	0.0119181
186	0.0531822
188	0.0321425
206	0.0319204
286	0.0129555
377	0.0194283
452	0.0121755
