#
# Undirected graph - clustering coefficient. G(10876, 39994). Average clustering: 0.0062  OpenTriads: 515892 (0.9982)  ClosedTriads: 934 (0.0018) (Mon Sep  9 04:08:39 2019)
#
# Node degree	Average clustering coefficient
1	0
2	0.0118138
3	0.00995025
4	0.00856974
5	0.0138015
6	0.00976526
7	0.00833333
8	0.0075651
9	0.0071475
10	0.00681818
11	0.0051835
12	0.00548589
13	0.00566877
14	0.00523655
15	0.00661461
16	0.00686063
17	0.00654046
18	0.00532213
19	0.0067639
20	0.00415122
21	0.00406926
22	0.00460829
23	0.00444664
24	0.00407609
25	0.00525641
26	0.0100405
27	0.00504054
28	0.00555556
29	0.00328407
30	0.008867
31	0.00645161
32	0.00259217
33	0.00340909
34	0.00891266
35	0.00144058
36	0.00571429
37	0.000500501
38	0.00426743
39	0.00179937
40	0.00128205
41	0.00487805
42	0.0008296
43	0.00073828
44	0.00369979
45	0
46	0.00386473
47	0.0013876
48	0
49	0.00340136
50	0.00244898
51	0.00784314
52	0.00326797
54	0.00139762
55	0.00538721
56	0.000649351
58	0.0030248
59	0.00175336
61	0.00218579
62	0.00105764
63	0.000512033
64	0.0014881
65	0.00408654
66	0.002331
82	0.00511894
103	0.00209404
