#
# Undirected graph - clustering coefficient. G(37939, 102004). Average clustering: 0.0768  OpenTriads: 8596609 (0.9748)  ClosedTriads: 221969 (0.0252) (Mon Sep  9 04:40:24 2019)
#
# Node degree	Average clustering coefficient
0	0
1	0
2	0.286451
3	0.24449
4	0.23742
5	0.204811
6	0.1918
7	0.194561
8	0.176628
9	0.152729
10	0.164198
11	0.159332
12	0.184882
13	0.160424
14	0.160642
15	0.163636
16	0.167222
17	0.173368
18	0.144933
19	0.162309
20	0.137064
21	0.145265
22	0.118945
23	0.148832
24	0.134977
25	0.144383
26	0.14969
27	0.126976
28	0.140517
29	0.129081
30	0.121839
31	0.12296
32	0.155826
33	0.163579
34	0.100267
35	0.139761
36	0.131141
37	0.115442
38	0.105361
39	0.129229
40	0.107564
41	0.12439
42	0.123473
43	0.109282
44	0.103754
45	0.106595
46	0.133768
47	0.141031
48	0.106907
49	0.112755
50	0.134133
51	0.108005
52	0.104031
53	0.13551
54	0.11127
55	0.0943098
56	0.110552
57	0.129626
58	0.121318
59	0.106176
60	0.103547
61	0.115652
62	0.0882139
63	0.0963902
64	0.14871
65	0.112241
66	0.1
67	0.114692
68	0.0839468
69	0.105131
70	0.0947649
71	0.108652
72	0.107042
73	0.0941262
74	0.0853815
75	0.0862462
76	0.105901
77	0.116131
78	0.130499
79	0.0806737
80	0.107595
81	0.104578
82	0.0918398
83	0.123798
84	0.127398
85	0.0715686
86	0.0676334
87	0.15953
88	0.105586
89	0.0481359
90	0.104665
91	0.0917216
92	0.107167
93	0.118435
94	0.0938572
95	0.093561
96	0.079057
97	0.096177
98	0.110916
99	0.0898784
100	0.086835
101	0.103762
102	0.058047
103	0.102722
104	0.0798304
105	0.0823718
106	0.0891798
107	0.062176
108	0.0843141
109	0.0644386
110	0.0849708
111	0.0437346
112	0.135779
113	0.100545
114	0.0619857
115	0.0929062
116	0.0995502
117	0.069555
118	0.0909749
119	0.0800456
120	0.0902361
121	0.0561065
122	0.132333
123	0.0635746
124	0.0749191
125	0.056129
127	0.063742
128	0.0531086
129	0.0657703
130	0.0780262
131	0.0624388
132	0.0671293
133	0.159528
134	0.0602626
135	0.107242
136	0.178976
137	0.0653177
138	0.0994393
139	0.198572
140	0.0399794
141	0.102769
142	0.0771651
143	0.123929
144	0.132916
145	0.144923
146	0.133585
147	0.066412
148	0.0944501
149	0.122574
150	0.133826
151	0.103797
152	0.0936302
153	0.142931
154	0.156481
156	0.0580852
158	0.0982424
159	0.124532
160	0.0658019
162	0.108274
163	0.06905
166	0.07908
167	0.0516197
170	0.0724678
171	0.0650155
172	0.0591595
173	0.120312
174	0.060893
175	0.0554023
177	0.0310092
178	0.0483083
179	0.0890716
180	0.0837368
182	0.0378241
183	0.0735003
185	0.055425
186	0.103952
189	0.0366993
190	0.0951156
191	0.100542
192	0.100985
194	0.0315154
195	0.0343907
196	0.0836735
198	0.094447
199	0.10903
201	0.101567
202	0.0401951
203	0.0459933
204	0.148797
207	0.041227
208	0.128112
209	0.0916222
211	0.105258
215	0.0510759
220	0.0335409
222	0.0267824
223	0.120753
225	0.12
227	0.111302
228	0.0845119
230	0.0814505
234	0.104545
235	0.0888343
236	0.0799856
237	0.0772009
241	0.0632434
243	0.0962147
246	0.0489464
250	0.10943
251	0.0536414
254	0.0637079
255	0.10264
257	0.0753688
261	0.131477
266	0.0854589
267	0.0484357
269	0.038867
270	0.0924549
277	0.0546487
282	0.049494
286	0.0346461
287	0.0634853
293	0.00689607
304	0.0583094
306	0.0111218
308	0.0568552
325	0.0265337
329	0.0351027
335	0.0467423
337	0.0683199
345	0.043967
350	0.0200246
361	0.0143737
364	0.0989768
379	0.0475074
382	0.034533
385	0.0471456
387	0.0175389
413	0.0468276
421	0.033322
426	0.0298923
523	0.0577643
563	0.0198795
567	0.0229215
591	0.0251341
682	0.0270088
791	0.0178079
835	0.00829133
927	0.0296295
