#
# Undirected graph degree Distribution. G(17226, 103954). 5471 (0.3176) nodes with out-deg > avg deg (12.1), 1994 (0.1158) with >2*avg.deg (Mon Sep  9 04:41:14 2019)
#
# Out-degree	Count
0	618
1	1399
2	1255
3	1216
4	1189
5	1079
6	945
7	841
8	802
9	688
10	651
11	523
12	549
13	466
14	456
15	417
16	322
17	306
18	262
19	277
20	233
21	197
22	215
23	170
24	156
25	145
26	109
27	112
28	92
29	94
30	94
31	84
32	65
33	65
34	61
35	66
36	63
37	51
38	64
39	52
40	43
41	43
42	34
43	28
44	35
45	31
46	34
47	32
48	31
49	16
50	21
51	22
52	28
53	20
54	20
55	18
56	17
57	13
58	13
59	9
60	10
61	13
62	10
63	7
64	9
65	8
66	11
67	4
68	7
69	3
70	7
71	5
72	8
73	4
74	3
75	7
76	3
77	3
78	6
79	5
80	2
81	1
82	1
83	5
84	6
85	4
86	2
87	4
88	3
89	3
90	2
91	3
92	4
93	3
95	3
96	2
97	1
98	5
99	2
100	2
101	1
102	3
103	2
104	2
105	5
106	4
107	2
108	4
109	1
110	2
111	4
114	2
117	2
121	1
124	2
133	1
134	1
135	1
137	2
138	2
140	1
141	1
142	4
146	1
147	1
148	1
149	1
151	1
152	1
154	1
157	1
160	1
164	1
168	2
169	2
170	1
177	1
178	1
194	1
212	1
219	1
221	1
230	1
236	2
237	1
247	1
300	1
310	1
