#
# Undirected graph degree Distribution. G(12231, 18453). 1902 (0.1555) nodes with out-deg > avg deg (3.0), 1060 (0.0867) with >2*avg.deg (Mon Sep  9 04:02:04 2019)
#
# Out-degree	Count
0	4956
1	3326
2	1354
3	693
4	395
5	255
6	192
7	134
8	106
9	62
10	75
11	47
12	46
13	47
14	43
15	31
16	34
17	26
18	27
19	19
20	20
21	20
22	20
23	12
24	13
25	17
26	12
27	15
28	10
29	9
30	7
31	4
32	9
33	10
34	9
35	4
36	7
37	5
38	9
39	4
40	6
41	4
42	4
43	7
44	2
46	4
47	8
48	8
49	6
50	6
51	1
52	2
53	1
54	4
55	5
56	3
57	2
58	1
59	2
60	2
61	2
62	1
63	3
64	1
65	4
67	4
68	1
69	1
70	1
71	1
72	3
73	1
74	1
75	1
77	2
78	3
79	1
83	2
84	1
85	1
86	2
87	1
90	1
92	2
97	1
98	1
99	1
100	1
101	1
103	1
110	1
113	1
117	1
120	1
123	1
126	1
128	2
130	2
134	1
146	1
153	1
157	1
168	1
180	1
186	1
188	1
206	1
286	1
377	1
452	1
