#
# Undirected graph degree Distribution. G(37939, 102004). 5301 (0.1397) nodes with out-deg > avg deg (5.4), 3372 (0.0889) with >2*avg.deg (Fri Sep  6 15:57:35 2019)
#
# Out-degree	Count
0	10532
1	13994
2	4074
3	1966
4	1199
5	873
6	561
7	443
8	386
9	287
10	252
11	207
12	183
13	191
14	152
15	121
16	105
17	109
18	103
19	102
20	95
21	87
22	63
23	55
24	67
25	54
26	57
27	51
28	52
29	59
30	44
31	51
32	38
33	46
34	32
35	38
36	42
37	26
38	29
39	29
40	20
41	23
42	29
43	22
44	33
45	17
46	20
47	22
48	22
49	15
50	16
51	17
52	18
53	15
54	22
55	20
56	16
57	17
58	13
59	15
60	18
61	28
62	16
63	8
64	10
65	13
66	8
67	12
68	13
69	11
70	7
71	8
72	10
73	11
74	13
75	3
76	11
77	5
78	9
79	9
80	4
81	6
82	11
83	7
84	9
85	8
86	5
87	5
88	11
89	2
90	11
91	5
92	5
93	6
94	4
95	8
96	8
97	5
98	11
99	5
100	6
101	6
102	4
103	5
104	7
105	4
106	7
107	5
108	6
109	7
110	5
111	3
112	2
113	4
114	4
115	2
116	4
117	1
118	1
119	3
120	7
121	3
122	4
123	4
124	3
125	3
127	5
128	3
129	6
130	4
131	3
132	5
133	3
134	5
135	1
136	1
137	2
138	1
139	2
140	1
141	3
142	2
143	4
144	2
145	2
146	3
147	3
148	7
149	4
150	2
151	2
152	2
153	2
154	2
156	4
158	2
159	4
160	1
162	3
163	3
166	1
167	2
170	2
171	2
172	1
173	2
174	2
175	2
177	1
178	1
179	2
180	1
182	1
183	1
185	3
186	2
189	1
190	5
191	3
192	3
194	2
195	2
196	2
198	2
199	1
201	2
202	1
203	2
204	1
207	1
208	1
209	2
211	1
215	1
220	1
222	1
223	1
225	1
227	1
228	1
230	2
234	1
235	2
236	1
237	2
241	1
243	1
246	1
250	1
251	1
254	1
255	1
257	3
261	1
266	1
267	1
269	1
270	2
277	1
282	1
286	1
287	2
293	1
304	2
306	1
308	1
325	2
329	1
335	1
337	1
345	1
350	1
361	1
364	1
379	1
382	1
385	1
387	2
413	1
421	1
426	1
523	1
563	1
567	1
591	1
682	1
791	1
835	1
927	1
